"Dataset_ID","Project","Event_LegacyPollen 1.0","Event","Event_Neotoma","Neotoma_DOI","Neotoma_comment","Data_Source","Site_ID","Site_Name","Site_Name_Clean","Latitude","Longitude","Elevation","Continent","Basin_Type","Data_Type","Number_Pollen_Samples","AgeModel_Source","Number_Datings","minimum_meanAge","maximum_meanAge","mean_resolution_meanAge","range_meanAge","Site_Description","Submission_Pollendata","Publication_1","Publication_DOI_1","Publication_2","Publication_DOI_2","Publication_3","Publication_DOI_3","Publication_4","Publication_DOI_4","Publication_5","Publication_DOI_5","Publication_6","Publication_DOI_6","Publication_7","Publication_DOI_7","Publication_8","Publication_DOI_8","Basin_Area","Basin_Source","Basin_Comment"
4228,"LegacyPollen_1.0","LUXBREID","LUXBREID","LUXBREID","10.21233/7qh5-4032","","Neotoma (last access: 1 April 2021)",3260,"Breidfeld","Breidfeld",50.12278,6.063056,440,"Europe","Peat","Raw",23,"AWI",3,1544,3421,85.3,1877,"Peat in the valley. Physiography: sub-flat landscape. Surrounding vegetation: pasture.","1964-01-01 00:00:00","Couteaux, M., 1969. Recherches palynologiques en Gaume, au Pays d'Arlon, en Ardenne meridionale (Luxembourg belge) et au Gutland (Grand-Duche de Luxembourg). Acta Geographica Lovaniensia, 9, pp.1-193 (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIXED_100",NA
4239,"LegacyPollen_1.0","MAANSEL","MAANSEL","MAANSEL","10.21233/1g98-ct07","","Neotoma (last access: 1 April 2021)",3264,"Maanselänsuo","Maanselansuo",65.61709,29.61124,248,"Europe","Peat","Raw",29,"AWI",4,464,11002,376.4,10538,"Drained fen surrounding a lake. Physiography: rolling stagnation moraine. Surrounding vegetation: drained trichophorum caespitosum fen.","1964-09-01 00:00:00","Vasari, Y., 1965. Studies on the vegetational history of the Kuusamo district (north east Finland) during the Late-Quaternary period. III. Maanselansuo, a late-glacial site in Kuusamo. Annales Botanici Fennici, 2(3), pp.219-235.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49875.9249683916,"FIXED_100",NA
4241,"LegacyPollen_1.0","MAARDUI","MAARDUI","MAARDUI","10.21233/begd-z059","","Neotoma (last access: 1 April 2021)",3265,"Lake Maardu","Lake Maardu",59.44,25,32,"Europe","Lake","Raw",60,"AWI",3,1728,10575,149.9,8847,"Lake near the phosphorite mines. Physiography: on the limestone plateau. Surrounding vegetation: alder, Birch, Meadows, Swamps.","1988-01-01 00:00:00","Saarse, L., Veski, S., Rajamae, R., Sarv, A. and Heinsalu, A., 1990. Geology of Lake Maardu, Eesti Teaduste Akademia Geoloogia Instituut edition. Tallinn, Estonia (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1537412,"GIS","l, LW, L2,"
4245,"LegacyPollen_1.0","MAKSIMKI","MAKSIMKI","MAKSIMKI","10.21233/a9hx-nb84","","Neotoma (last access: 1 April 2021)",3268,"Maksimkin Yar","Maksimkin Yar",58.69524,86.78552,150,"Asia","Peat","Raw",48,"AWI",4,12,9113,193.6,9101,"Section of raised bog in valley of Ket'. Physiography: first terrase of Ket' River. Surrounding vegetation: Pinus sylvestris, Pinus sibirica, Betula, Picea.","1979-09-10 00:00:00","Blyakharchuk, T.A., 1980. Sporovo-pyl'zevaya kharakteristika bolot verhneketskogo raiona [Spore and pollen characteristics of peatlands of the Verhneketskii region during the Holocene]. In: Molodye uchoenye narodnomy khozyaistvy Ekonomicheskaya ozenka landshafta Tomskoi oblasti [Abstracts of the Conference ""Young Scientist for Peoples Economy: Economical Evaluation of the Tomsk Region""] (pp.24-25). Tomsk University Press, Tomsk, Russia.",NA,"Blyakharchuk, T.A., 1989. Istorija rastitel'nosti yugovostoka Zapadnoi Sibiri v golotsene po dannym botanicheskogo i sporovo-pyl'tsevogo analiza torfa [The Holocene history of vegetation of south-eastern West Siberia by botanical and pollen analyses of peat deposits]. Doctoral dissertation. Tomsk State University, Tomsk, Russia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIXED_100",NA
4247,"LegacyPollen_1.0","MALESH","MALESH","MALESH","10.21233/9kr8-8s34","","Neotoma (last access: 1 April 2021)",3270,"Maleshevska Mountains Peat Bog","Maleshevska Mountains Peat Bog",41.7,23.03333,1720,"Europe","Peat","Raw",41,"Neotoma_Giesecke et al. 2014 (MADCAP)",4,7,7708,192.5,7701,"Peat bog. Physiography: almost flat landscape, 30-90 asl heights. Surrounding vegetation: open herb communities.","1982-07-01 00:00:00","Bozilova, E. and Tonkov, S., 1985. Vegetation development in the mountainous areas of southwestern Bulgaria. I. Palynological investigations and reconstruction of past vegetation. Ecologia mediterranea, 11(1), pp.33-37.","https://doi.org/10.3406/ecmed.1985.1068","Tonkov, S. and Bozilova, E., 1992. Pollen analysis of peat bog in Maleshevska mountain (SW Bulgaria). Annual of Sofia University, Faculty of Biology, 81(2), pp.11-21.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5398163397448,"FIXED_100",NA
4249,"LegacyPollen_1.0","MARCH","MARCH","MARCH","10.21233/ye9x-z889","","Neotoma (last access: 1 April 2021)",3272,"Hobbs Lot March","Hobbs Lot March",52.58592,0.07036,1,"Europe","Peat","Raw",62,"AWI",6,2095,5244,51.6,3149,"Holocene peats clays,former mire/Saltmar. Physiography: flat, former coastal Marshes. Surrounding vegetation: arable farmland.","1987-01-01 00:00:00","Waller, M., 1994. The Fenland project, number 9: Flandrian environmental change in Fenland (No. 70). Cambridgeshire Archaeological Committee, United Kingdom.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78539816.3397448,"FIXED_100",NA
4251,"LegacyPollen_1.0","MAREE_neotoma","MAREE_neotoma","MAREE","10.21233/axz3-2923","","Neotoma (last access: 1 April 2021)",3273,"Loch Maree","Loch Maree",57.68456,-5.454,60,"Europe","Lake","Raw",57,"AWI",6,-22,10768,192.7,10790,"Lake. Surrounding vegetation: pine wood, Betula, acidic Quercus wood.","1969-07-01 00:00:00","Birks, H.H., 1972. Studies in the vegetational history of Scotland. A radiocarbon-dated pollen diagram from Loch Maree, Ross and Cromatry. New Phytologist, 71(4), pp.731-754.","https://doi.org/10.1111/j.1469-8137.1972.tb01285.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25308479,"GIS","l, LW, L1,"
4256,"LegacyPollen_1.0","MARTIGAN","MARTIGAN","MARTIGAN","10.21233/2gfj-a151","","Neotoma (last access: 1 April 2021)",3276,"Lago di Martignano","Lago di Martignano",42.11301,12.31706,204,"Europe","Lake","Raw",68,"Neotoma_Giesecke et al. 2014 (MADCAP)",8,83,12599,186.8,12516,"Maar lake. Physiography: One of a number of explosive craters. Surrounding vegetation: Arable and pastoral agriculture and wood.","1988-09-01 00:00:00","Kelly, M.G. and Huntley, B., 1991. An 11 000-year record of vegetation and environment from Lago di Martignano, Latium, Italy. Journal of Quaternary Science, 6(3), pp.209-224.","https://doi.org/10.1002/jqs.3390060304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2302572,"GIS","l, LW, L2,"
4257,"LegacyPollen_1.0","MASEHJ","MASEHJ","MASEHJ","10.21233/apjc-5g08","","Neotoma (last access: 1 April 2021)",3277,"Masehjavri","Masehjavri",69.04527,20.97475,685,"Europe","Lake","Raw",33,"AWI",6,258,10828,330.3,10570,"Lake. Physiography: bedrock col mantled by till. Surrounding vegetation: dwarf shrub heath.","1976-04-01 00:00:00","Hyvarinen, H., 1993. Holocene pine and birch limits near Kilpisjarvi, western Finnish Lapland: Pollen stratigraphical evidence. Palaeoklimaforschung, 9, pp.19-27.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168082.5,"GIS","l, GE, L2,"
4258,"LegacyPollen_1.0","MAT-1","MAT-1","MAT-1","10.21233/eze7-8418","","Neotoma (last access: 1 April 2021)",3278,"Vitosha Mountains Peat Bog","Vitosha Mountains Peat Bog",42.54718,23.2917,2160,"Europe","Peat","Raw",16,"AWI",2,-58,9868,661.7,9926,"Sphagnum peat bog. Physiography: ridge at the foot of mount Selimitsa. Surrounding vegetation: subalpine meadows and pastures.","1981-09-01 00:00:00","Filipovitch, L. 1985. Palynological studies of peat bogs on the southern slopes of Vitosha mountain. Forest Science, 2, pp.3-16.",NA,"Filipovitch, L., 1988. Vegetation history of the high parts of Vitosha mountain during the late postglacial times. Fitologija, 34, pp.3-27.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500144.692044149,"FIXED_100",NA
4259,"LegacyPollen_1.0","MAYRA","MAYRA","MAYRA","10.21233/g1np-hb58","","Neotoma (last access: 1 April 2021)",3279,"Mayralampi","Mayralampi",62.34206,26.23393,118,"Europe","Lake","Raw",89,"AWI",6,-46,9784,111.7,9830,"Lake with marginal willow-grey alder. Physiography: rolling stagnation moraine. Surrounding vegetation: spruce forest and drained mixed forest.","1984-04-01 00:00:00","Koivula, L., 1987. Keski-Suomen viljelyhistoriaa : siitepolytutkimus viidesta Keski-Suomen kunnasta. Master's thesis. University of Jyvaskyla, Jyvaskyla, Finland.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29187.56,"GIS","l, GE, L2,"
4272,"LegacyPollen_1.0","MOERZEKE","MOERZEKE","MOERZEKE","10.21233/z913-g676","","Neotoma (last access: 1 April 2021)",3292,"Moerzeke","Moerzeke",51.04833,4.176389,1,"Europe","Peat","Raw",11,"AWI",2,1330,5952,462.2,4622,"Intensively cultivated land + greenhouse. Physiography: sandy marginal zone of Holocene. Surrounding vegetation: fields, meadows and poplar plantations.","1969-09-01 00:00:00","Verbruggen, C., Denys, L. and Kiden, P.,1996. Palaeoecological events in Belgium during the last 13,000 years with special reference to sandy Flanders. In: Palaeoecological Events During the Last 15,000 Years: Regional Syntheses of Palaeoecological Studies of Lakes and Mires Europe ed. by B.E. Berglund, H.J.B. Birks, M. Ralska-Jasiewiczowa, and H.E. Wright (pp.553-574). Wiley, Chichester, United Kingdom.",NA,"Verbruggen, C., 1979. Paleoecologische en palynlogische benadering van enkele bekende historisch-geografisch problemen in Vlaaderen. Bronnen voor de historisch geografie van Belgie. Handelingen van het Colloquium te Brussel, 25-27-IV, pp.487-497 (inDutch).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIXED_100",NA
4275,"LegacyPollen_1.0","MONT82","MONT82","MONT82","10.21233/28gf-4635","","Neotoma (last access: 1 April 2021)",3295,"Lago Grande di Monticchio","Lago Grande di Monticchio",40.93124,15.60519,656,"Europe","Lake","Raw",146,"AWI",20,-40,64149,442.7,64189,"Lake. Physiography: explosion crater. Surrounding vegetation: Fagus sylvatica, Quercus cerris, Ilex.","1982-01-01 00:00:00","Watts, W.A., 1985. A long pollen record from Laghi di Monticchio, southern Italy: a preiminary account. Journal of the Geological Society, 142(3), pp.491-499.","https://doi.org/10.1144/gsjgs.142.3.0491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407002.6,"GIS","l, GE, L2,"
4283,"LegacyPollen_1.0","MOSSEN","MOSSEN","MOSSEN","10.21233/cg36-ty75","","Neotoma (last access: 1 April 2021)",3299,"Mossen","Mossen",60.12146,21.58979,17,"Europe","Peat","Raw",56,"AWI",3,-63,2089,39.1,2152,"Well developed raised bog. Physiography: Sphagnum peat. Surrounding vegetation: Pinus dominated peat vegetation.","1988-11-01 00:00:00","Vuorela, I., 1990. Pollenanalytiska studier. In: Finska skaren ed. by K. Zilliacus (pp.115-133). Studier i Abolandsk Kulturhistoria, utgivna av Konstsamfundet till dess 50-Arsjubileum 1990. Konstsamfundet, Helsingfors (in Swedish).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199503.699873566,"FIXED_100",NA
4285,"LegacyPollen_1.0","MOUTON2","MOUTON2","MOUTON2","10.21233/fbsg-8t36","","Neotoma (last access: 1 April 2021)",3301,"Lac Mouton","Lac Mouton",44.06,7.44,2175,"Europe","Lake","Raw",31,"AWI",5,2760,11831,302.4,9071,"Lake. Mountain. Surrounding vegetation: herb.","1975-01-01 00:00:00","de Beaulieu, J.L., 1977. Contribution pollenanalytique a l'histoire tardiglaciaire et Holocene de la vegetation des Alpes meridionales francaices. Doctoral dissertation. Universite d'Aix-Marseille, Marseille, France.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2427.736,"GIS","l, GE, L2,"
4286,"LegacyPollen_1.0","MUKKAV","MUKKAV","MUKKAV","10.21233/pvn2-a273","","Neotoma (last access: 1 April 2021)",3302,"Mukkavaara","Mukkavaara",68.91667,21,535,"Europe","Lake","Raw",56,"AWI",9,-55,11934,218,11989,"Lake. Physiography: hummocky till / ice contact drift. Surrounding vegetation: mountain birch woodland.","1976-04-01 00:00:00","Eronen, M. and Hyvarinen, H., 1982. Subfossil pine dates and pollen diagrams from northern Fennoscandia. Geologiska Foreningen i Stockholm Forhandlingar, 103(4), pp.437-445.","https://doi.org/10.1080/11035898209453722","Hyvarinen, H., 1993. Holocene pine and birch limits near Kilpisjarvi, western Finnish Lapland: Pollen stratigraphical evidence. Palaoklimaforsch. Palaeoklimaforschung, 9, pp.19-27.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928.9621,"Google Earth","Chenhzi: publication. Lake shapes: ? check in gis. It is definitely a lake."
4287,"LegacyPollen_1.0","MULLSJ","MULLSJ","MULLSJ","10.21233/emr2-ry49","","Neotoma (last access: 1 April 2021)",3303,"Lake Mullsjön","Lake Mullsjon",58.31761,14.21136,133,"Europe","Lake","Raw",20,"AWI",5,9635,11818,114.9,2183,"Round, big lake. Physiography: northern edge of a glacial-fluvial area. Surrounding vegetation: pine forest.",NA,"Bjorck, S. and Digerfeldt, G., 1989. The deglaciation pattern of the central part of the Middle Swedish end moraine zone and related water level changes of the Baltic Ice Lake-presentation of a key site east of Mt. Billingen. Boreas, 18, pp.209-219.","https://doi.org/10.1111/j.1502-3885.1989.tb00394.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3916613,"GIS","l, LW, L2,"
4288,"LegacyPollen_1.0","MUSTUSUO","MUSTUSUO","MUSTUSUO","10.21233/s7rb-ap65","","Neotoma (last access: 1 April 2021)",3304,"Mustusuo","Mustusuo",61.80556,33.5,101,"Europe","Peat","Raw",20,"AWI",2,519,9806,488.8,9287,"Mire. Physiography: lake-glacial plain (Shujskaja). Surrounding vegetation: Pinus, Picea.","1973-01-01 00:00:00","Elina, G.A., 1981. Printsipy i metody rekonstruktsii i kartirovaniya rastitelonosti golotsena [Principles and methods for reconstruction and mapping of Holocene vegetation]. Nauka, Leningrad, Russia (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIXED_100",NA
4293,"LegacyPollen_1.0","NASLAT","NASLAT","NASLAT","10.21233/3s1a-0h86","","Neotoma (last access: 1 April 2021)",3308,"Slieve Naslat","Slieve Naslat",54.27048,-5.95509,250,"Europe","Peat","Raw",67,"AWI",8,1591,6620,76.2,5029,"Cut-over blanket peat much eroded. Physiography: intermontane hollow. Surrounding vegetation: heather / rough grass.","1971-01-01 00:00:00","Holland, S.M., 1975. A pollen-analytical study concerning settlement and early agriculture in County Down, Northern Ireland. Doctoral dissertation. Queen's University, Belfast, Northern Ireland, UK.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177952.37426994,"FIXED_100",NA
4294,"LegacyPollen_1.0","NAVA1","NAVA1","NAVA1","10.21233/v088-1d37","","Neotoma (last access: 1 April 2021)",3309,"Navarrés","Navarres",39.1,-0.68333,225,"Europe","Peat","Raw",15,"AWI",5,3056,19326,1162.1,16270,"Peat bog. Physiography: basin in tectonic valley 1-2 Km wide. Surrounding vegetation: Garrigue and cultivars.","1993-06-15 00:00:00","Carrion, J.S. and Dupre, M., 1996. Late Quaternary vegetational history at Navarres, Eastern Spain. A two core approach. New Phytologist, 134(1), pp.177-191.","https://doi.org/10.1111/j.1469-8137.1996.tb01157.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14957.122623741,"FIXED_100",NA
4296,"LegacyPollen_1.0","NAVARRE3","NAVARRE3","NAVARRE3","10.21233/7gv9-gq90","","Neotoma (last access: 1 April 2021)",3309,"Navarrés","Navarres",39.1,-0.68333,225,"Europe","Peat","Raw",191,"AWI",12,3146,35795,171.8,32649,"Peat bog. Physiography: basin in tectonic valley 1-2 Km wide. Surrounding vegetation: Garrigue and cultivars.","1997-01-01 00:00:00","Carrion, J.S. and Van Geel, B., 1999. Fine-resolution Upper Weichselian and Holocene palynological record from Navarres (Valencia, Spain) and a discussion about factors of Mediterranean forest succession. Review of Palaeobotany and Palynology, 106(3-4), pp.209-236.","https://doi.org/10.1016/S0034-6667(99)00009-3","ACER project members; Sanchez Goñi, Maria Fernanda; Desprat, Stéphanie; Daniau, Anne-Laure; Carrión, José S; van Geel, Bas (2017): CLAM age model and pollen profile of sediment core Navarres. PANGAEA","https://doi.org/10.1594/PANGAEA.872905","ACER project members; Sanchez Goñi, Maria Fernanda; Desprat, Stéphanie; Daniau, Anne-Laure; Carrión, José S; van Geel, Bas (2017): CLAM age model and microcharcoal of sediment core Navarres. PANGAEA","https://doi.org/10.1594/PANGAEA.872576","ACER project members; Sanchez Goñi, Maria Fernanda; Desprat, Stéphanie; Daniau, Anne-Laure; Allen, Judy R M; Anderson, R Scott; Behling, Hermann; Bonnefille, Raymonde; Cheddadi, Rachid; Combourieu-Nebout, Nathalie; Dupont, Lydie M; Fletcher, William J; González, Catalina; Grigg, Laurie D; Grimm, Eric C; Hayashi, Ryoma; Helmens, Karin F; Hessler, Ines; Heusser, Linda E; Hooghiemstra, Henry; Huntley, Brian; Igarashi, Yaeko; Irino, Tomohisa; Jacobs, Bonnie Fine; Jiménez-Moreno, Gonzalo; Kawai, Sayuri; Kumon, Fujio; Lawson, Ian T; Lebamba, Judicael; Ledru, Marie-Pierre; Lézine, Anne-Marie; Liew, Ping-Mei; Londeix, Laurent; López-Martinez, Constancia; Magri, Donatella; Maley, Jean; Margari, Vasiliki; Marret, Fabienne; Müller, Ulrich C; Naughton, Filipa; Novenko, Elena Y; Oba, Tadamichi; Roucoux, Katherine H; Takahara, Hikaru; Tzedakis, Polychronis C; Vincens, Annie; Whitlock, Cathy L; Willard, Debra A; Yamamoto, Masanobu (2017): CLAM age model and biomes of sediment core Navarres. PANGAEA","https://doi.org/10.1594/PANGAEA.872815","Sánchez Goñi, M.F., Desprat, S., Daniau, A.L., Bassinot, F.C., Polanco-Martínez, J.M., Harrison, S.P., Allen, J.R., Anderson, R.S., Behling, H., Bonnefille, R. and Burjachs, F., 2017. The ACER pollen and charcoal database: a global resource to document vegetation and fire response to abrupt climate changes during the last glacial period. Earth System Science Data, 9(2), pp.679-695.","https://doi.org/10.5194/essd-9-679-2017",NA,NA,NA,NA,NA,NA,14957.122623741,"FIXED_100",NA
4299,"LegacyPollen_1.0","NEMINO","NEMINO","NEMINO","10.21233/mfht-2e09","","Neotoma (last access: 1 April 2021)",3312,"Nemino","Nemino",62.75,34.58333,45,"Europe","Peat","Raw",24,"AWI",3,1700,9490,338.7,7790,"Mire.",NA,"Elina, G.A., 1981. Printsipy i metody rekonstruktsii i kartirovaniya rastitelonosti golotsena [Principles and methods for reconstruction and mapping of Holocene vegetation]. Nauka, Leningrad, Russia (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389255.89615039,"FIXED_100",NA
4301,"LegacyPollen_1.0","NERO2","NERO2","NERO2","10.21233/4rk9-4w51","","Neotoma (last access: 1 April 2021)",3314,"Lake Nero","Lake Nero",57.18333,39.45139,93,"Europe","Lake","Raw",176,"AWI",11,10618,272956,1499.1,262338,"Drained lake. Physiography: depression of middle Pleistocene glacial. Surrounding vegetation: wetlands and agricultural lands.","1970-01-01 00:00:00","Aleshinskaya, Z., Gunova, V.S. and Sudakova, N.G., 1973. On Yaroslavi Povolzh'e stratigraphy and paleogeography. In: Chronology of Pleistocene and climatical stratigraphy, Geographical Society of the USSR (for the IX-th congress of INQUA, New Zealand) ed. by V.A. Zubakov (pp.138-148). Pleistocene Commission, Leningrad, Russia (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56057786,"GIS","l, GE, L2,"
4304,"LegacyPollen_1.0","NERO2P","NERO2P","NERO2P","10.21233/x11h-5275","","Neotoma (last access: 1 April 2021)",3314,"Lake Nero","Lake Nero",57.18333,39.45139,93,"Europe","Lake","Raw",57,"AWI",3,-63,8101,145.8,8164,"Drained lake. Physiography: depression of middle Pleistocene glacial. Surrounding vegetation: wetlands and agricultural lands.","1970-01-01 00:00:00","Gunova, V.S., 1975. Istoriya ozera Nero po palinologicheskim dannym [The history of Lake Nero by the pollen record]. Master's thesis. Moscow State University, Moscow, Russia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56013147,"GIS","l, GE, L2, Shape has DatasetID 4301"
4306,"LegacyPollen_1.0","NIE1BIS","NIE1BIS","NIE1BIS","10.21233/k0vt-tc67","","Neotoma (last access: 1 April 2021)",3315,"Niechorze","Niechorze",54,15.05,5,"Europe","Lake","Raw",52,"AWI",9,2715,14585,232.7,11870,"Sea cliff. Physiography: fossil lake. Surrounding vegetation: coastal vegetation, beech and pine forest.","1978-01-01 00:00:00","Ralska-Jasiewiczowa, M. and Rzetkowska, A., 1987. Wyniki analizy pylkowej i makroskopowej kopalnych osadow jeziornych z Niechorza I na Wybrzezu Baltyckim [Pollen and macrofossil stratigraphy of fossil lake sediments at Niechorze I, west Baltic Coast]. Acta Palaeobotanica, 27(1), pp.153-178 (in Polish).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"can't find a basin"
4308,"LegacyPollen_1.0","NIGULA","NIGULA","NIGULA","10.21233/cr8f-k669","","Neotoma (last access: 1 April 2021)",3316,"Nigula","Nigula",58.00009,24.68735,55,"Europe","Peat","Raw",60,"AWI",11,59,8928,150.3,8869,"Raised bog. Physiography: slope Sakala upland, small drumlins. Surrounding vegetation: pine, spruce, birch.","1973-07-01 00:00:00","Sarv, A. and Il'ves, E.O., 1976. Geochronological subdivision of Holocene bog-lacustrine deposits in south-western Estonia. In: Palinologicheskie issledovaniya v izuchenii kontinental'nykh i donnykh otlozhenij Pribaltiki i Baltijskogo morya ed. by T.D. Bartosh (pp.47-59). Zinatne, Riga, Estonia (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23106238.0379643,"FIXED_100",NA
4309,"LegacyPollen_1.0","NMADBER","NMADBER","NMADBER","10.21233/zf76-3490","","Neotoma (last access: 1 April 2021)",3317,"Madtjärn","Madtjarn",58.5959,12.17463,135,"Europe","Lake","Raw",13,"AWI",9,10591,13906,276.2,3315,"A small lake in a hilly area. Physiography: surrounded by till and bedrock. Surrounding vegetation: pine and spruce.",NA,"Bjorck, S. and Digerfeldt, G., 1991. Allerod-Younger Dryas sea level changes in southwestern Sweden and their relation to the Baltic Ice Lake development. Boreas, 20(2), pp.115-133.","https://doi.org/10.1111/j.1502-3885.1991.tb00301.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2445.154,"GIS","l, GE, L1, shape not very clear"
4311,"LegacyPollen_1.0","NOIR01","NOIR01","NOIR01","10.21233/92cn-k485","","Neotoma (last access: 1 April 2021)",3319,"Lac Noir","Lac Noir",45.45194,2.622778,842,"Europe","Lake","Raw",232,"AWI",10,60,19509,84.2,19449,"Lake. Physiography: depression. Surounding vegetation: beech and fir forest.","1984-01-01 00:00:00","Guenet, P., 1993. Analyses pollenanalytique en Artense et sur le plateau de Millevaches (Massif Central, France). Palynosciences, 2, pp.79-108 (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5348.213,"GIS","l, GE, L2,"
4314,"LegacyPollen_1.0","NOVOLSK_neotoma","NOVOLSK_neotoma","NOVOLSK","10.21233/xe1b-tf19","","Neotoma (last access: 1 April 2021)",3322,"Novoselky","Novoselky",53.26346,25.99919,168,"Europe","Peat","Raw",69,"AWI",5,1005,11697,157.2,10692,"Bog. Physiography: outwash plain. Surrounding vegetation: Pinus, Betula, Alnus.","1982-08-01 00:00:00","Zernitskaya, V.P., Krutous, E.A. and Klimanov, V.A., 1988. Studies of mire for the purpose of reconstruction of the climatic peculiarities of the Byelorussian Poles'e. In: Problem of the Practical Geomorphology (pp.68-73). Nauka i Tekhnika, Minsk, Belarus.",NA,"Matveev, A.V., Krutous, E.A. and Zernitskaya, V., 1993. Geochronology of the Holocene of the Belorussian Polessie. Radiocarbon, 35(3), pp.435-439.","https://doi.org/10.1017/S0033822200060458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49875.9249683916,"FIXED_100",NA
4316,"LegacyPollen_1.0","NULSAVEI","NULSAVEI","NULSAVEI","10.21233/fs8n-ec44","","Neotoma (last access: 1 April 2021)",3324,"Nulsaveito","Nulsaveito",67.53333,70.16667,57,"Asia","Peat","Raw",30,"AWI",5,6146,8782,90.9,2636,"Peat section open by thermoabrasion. Physiography: sandy plain cut by numerous streams. Surrounding vegetation: Betula nana, shrub Salix, mosses.","1986-07-16 00:00:00","Panova, N.K., 1990. Novye dannye po paleoekologii i istorii rastitelnosti yuzhnogo Yamala v golotsene [New data for paleoecology and vegetation history of southern Yamal during the Holocene]. In: Chetvertichnyi period: metody issledovania, stratigrafia i ekologia. VII Vseseoyuznoe soveschanie [Quaternary: methods, stratigraphy and ecology. VII All-Union conference, Abstracts] (pp.45-46). Volume 3 (in Czech).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIXED_100",NA
4317,"LegacyPollen_1.0","NUOCHAGA","NUOCHAGA","NUOCHAGA","10.21233/h9er-kf81","","Neotoma (last access: 1 April 2021)",3325,"Lake Nuochaga","Lake Nuochaga",61.30058,129.5558,260,"Asia","Lake","Raw",45,"AWI",4,41,6718,151.8,6677,NA,"1988-01-01 00:00:00","Andreev, A.A. and Klimanov, V.A., 1989. Vegetation and climate history of central Yakutia during the Holocene and Late Pleistocene. In: Formirovanie rel'efa, korelyatnykh otlozheny i rossypei Severo-Vostoka SSSR [Formation of deposits and placers on northeast of the USSR] ed. by B.F. Ivanov and B.F. Palymsky (pp.28-51). Publishing House of SVKNII, Magadan, Russia (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1121111,"GIS","l, GE, L2,"
4319,"LegacyPollen_1.0","OLBRAM","OLBRAM","OLBRAM","10.21233/71yz-am65","","Neotoma (last access: 1 April 2021)",3327,"Olbramovice","Olbramovice",48.98832,16.3928,205,"Europe","Peat","Raw",26,"AWI",3,619,4223,144.2,3604,"Spring peat bog. Surrounding vegetation: alnenion glutinoso-incanae.","1984-01-01 00:00:00","Svobodova, H. 1992. The development of the southern Moravian vegetation in the Late Glacial and Holocene. Doctoral dissertation. Institute of Botany, CAS, Pruhonice, Czech Republic (in Czech).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199503.699873566,"FIXED_100",NA
